x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
282752,160984,340000,285652,203246,328915
282752,160984,360000,287038,204401,348453
282752,180984,80000,229533,219320,70301
282752,180984,100000,232305,220244,90531
282752,180984,120000,236000,220937,109377
282752,180984,140000,242235,220937,128222
282752,180984,160000,249163,220937,148453
282752,180984,240000,265791,223015,229146
282752,180984,260000,270179,221629,249608
282752,180984,280000,274105,220013,270070
282752,180984,300000,276414,218858,290070
282752,180984,320000,278493,218396,309839
282752,180984,340000,280340,219089,330070
282752,180984,360000,281726,220013,349839
282752,180984,380000,283112,220475,368915
282752,180984,400000,284728,220937,387067
282752,200984,100000,223067,236318,91686
282752,200984,220000,256784,241860,210762
282752,200984,240000,260248,241399,231224
282752,200984,260000,265329,239551,252148
282752,200984,280000,268793,237011,272148
282752,200984,300000,270872,235394,291455
282752,200984,320000,272488,234932,310993
282752,200984,340000,274105,235625,330762
282752,200984,360000,275490,235625,351455
282752,200984,380000,277569,235856,370070
282752,200984,400000,279186,236549,387991
282752,200984,420000,279878,237934,405913
282752,200984,440000,279878,239089,426144
282752,200984,460000,279186,240475,446375
282752,220984,200000,248009,261168,194226
282752,220984,220000,253089,260937,215150
282752,220984,240000,256784,259551,235150
282752,220984,260000,260941,257703,255150
282752,220984,280000,263713,254932,273996
282752,220984,300000,265329,252854,292379
282752,220984,320000,266022,252623,311686
282752,220984,340000,266946,252623,331917
282752,220984,360000,268562,252854,352148
282752,220984,380000,270872,253085,370301
282752,220984,400000,272488,254008,387760
282752,220984,420000,273181,256318,406144
282752,220984,440000,273181,257473,425682
282752,220984,460000,272950,258396,445913
282752,220984,480000,272950,260013,466375
282752,240984,180000,237616,280475,176767
282752,240984,200000,243390,282322,197922
282752,240984,220000,248471,281399,219538
282752,240984,240000,252166,280013,239076
282752,240984,260000,255861,277242,257460
282752,240984,280000,257939,274008,275612
282752,240984,300000,259325,272392,293996
282752,240984,320000,259094,271930,313072
282752,240984,340000,259787,271699,331917
282752,240984,360000,261403,272161,351686
282752,240984,380000,263713,271468,370301
282752,240984,400000,264636,273085,387298
282752,240984,420000,265329,274932,405913
282752,240984,440000,265560,276549,425451
282752,240984,460000,266253,277473,445682
282752,240984,480000,266253,278165,466144
282752,240984,500000,267639,278627,486836
282752,260984,200000,238078,303015,200693
282752,260984,220000,243159,303015,221617
282752,260984,240000,246854,300937,240231
282752,260984,260000,250087,297703,258614
282752,260984,280000,251473,294239,277229
282752,260984,300000,252627,292392,296074
282752,260984,320000,253089,291699,314919
282752,260984,340000,253782,292161,332379
282752,260984,360000,254244,293085,350301
282752,260984,380000,256092,291699,368684
282752,260984,400000,256322,292854,387529
282752,260984,420000,256322,294470,406605
282752,260984,440000,257246,295394,426144
282752,260984,460000,258401,296318,446144
282752,260984,480000,259787,296780,466605
282752,260984,500000,261403,297473,486836
282752,280984,200000,232305,323477,201386
282752,280984,220000,237847,324170,221155
282752,280984,240000,241080,322322,240231
282752,280984,260000,243390,318627,259076
282752,280984,280000,244314,315163,277922
282752,280984,300000,245237,312854,296998
