x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
235456,120000,160000,387709,110947,177551
235456,120000,180000,391728,107344,199122
235456,120000,200000,390480,102218,227528
235456,120000,220000,389002,101386,253163
235456,120000,240000,388587,98107,274272
235456,120000,260000,389002,93996,294179
235456,120000,280000,389464,91225,314872
235456,140000,60000,370342,140139,72055
235456,140000,80000,372513,138753,89653
235456,140000,100000,373945,136074,109515
235456,140000,120000,374038,135520,132609
235456,140000,140000,372652,134596,154734
235456,140000,160000,376024,131270,174457
235456,140000,180000,383321,127160,195658
235456,140000,200000,387155,122541,220646
235456,140000,220000,387109,120786,248129
235456,140000,240000,387986,118015,271315
235456,140000,260000,387524,113211,292378
235456,140000,280000,387894,109377,314687
235456,160000,60000,368634,160600,72147
235456,160000,80000,371959,160277,88360
235456,160000,100000,373252,158799,108406
235456,160000,120000,373345,157183,132147
235456,160000,140000,371728,153487,153672
235456,160000,160000,371821,149469,171732
235456,160000,180000,374546,145589,191408
235456,160000,200000,376578,140324,217921
235456,160000,220000,379811,136814,245034
235456,160000,240000,385169,135058,269098
235456,160000,260000,386000,131225,290854
235456,160000,280000,386324,126791,313717
235456,180000,40000,361105,179908,55519
235456,180000,60000,365770,179492,72656
235456,180000,80000,370435,179538,87575
235456,180000,100000,370989,178799,107667
235456,180000,120000,371128,176490,130438
235456,180000,140000,372236,172009,152748
235456,180000,160000,371821,167668,171085
235456,180000,180000,370296,164111,191316
235456,180000,200000,368310,159539,218013
235456,180000,220000,370112,154874,240323
235456,180000,240000,379903,150763,265080
235456,180000,260000,385123,147622,289006
235456,180000,280000,386185,143789,312793
235456,200000,60000,363645,198661,73487
235456,200000,80000,367479,198383,89746
235456,200000,100000,367248,197552,108175
235456,200000,120000,367433,195612,127159
235456,200000,140000,370112,190993,149699
235456,200000,160000,370943,186975,169422
235456,200000,180000,371128,183326,192794
235456,200000,200000,370389,179816,219584
235456,200000,220000,371312,173580,241708
235456,200000,240000,376901,168638,263094
235456,220000,80000,366139,218799,91178
235456,220000,100000,364430,216952,110438
235456,220000,120000,363553,214781,129330
235456,220000,160000,369650,205728,168129
235456,220000,180000,373021,202033,191732
235456,220000,200000,375469,201248,218106
235456,220000,220000,377964,199770,241708
235456,240000,160000,369419,223927,169469
235456,240000,180000,373206,220878,191593
235456,240000,200000,376162,220093,215381
235456,240000,220000,379349,221063,238060
215456,80000,220000,364707,64850,250392
215456,80000,240000,365954,59215,272932
215456,80000,260000,368910,56028,293486
215456,80000,280000,370850,54920,313117
215456,100000,140000,358425,99076,150900
215456,100000,160000,360365,97090,172748
215456,100000,200000,363737,87437,223186
215456,100000,220000,365538,83280,248729
215456,100000,240000,367386,78384,272609
215456,100000,260000,371543,75613,293071
215456,100000,280000,373344,74135,312655
215456,100000,300000,371728,72657,333071
215456,120000,80000,354915,118106,85496
215456,120000,100000,355746,115889,105589
215456,120000,120000,355885,115797,128314
215456,120000,140000,355100,116674,151270
215456,120000,160000,356716,114642,171732
215456,120000,180000,359211,111317,192933
215456,120000,200000,360920,106652,217875
215456,120000,220000,364846,102125,245172
